fg%,3p%,ft,tov%,ortg_max,drtg_max,home
0.457,0.386,14.0,6.5,163.0,116.0,1
0.489,0.379,15.0,10.6,172.0,128.0,0
0.436,0.455,19.0,11.9,145.0,111.0,0
0.453,0.414,13.0,10.6,147.0,122.0,1
0.389,0.4,11.0,6.8,149.0,124.0,0
0.478,0.421,17.0,5.7,204.0,129.0,0
0.424,0.417,20.0,9.1,169.0,102.0,1
0.4,0.333,20.0,14.8,251.0,137.0,0
0.506,0.387,15.0,21.4,167.0,134.0,0
0.382,0.387,10.0,10.2,158.0,143.0,1
0.467,0.36,15.0,9.2,150.0,110.0,0
0.424,0.154,18.0,9.4,238.0,122.0,0
0.412,0.238,19.0,11.2,139.0,127.0,0
0.515,0.306,13.0,8.7,242.0,108.0,1
0.438,0.3,17.0,16.0,141.0,124.0,0
0.378,0.24,17.0,12.0,221.0,129.0,0
0.494,0.29,15.0,10.7,221.0,115.0,1
0.475,0.344,17.0,10.1,172.0,123.0,0
0.541,0.276,20.0,14.9,202.0,110.0,0
0.432,0.29,18.0,14.5,211.0,107.0,0
0.506,0.429,13.0,8.4,143.0,119.0,0
0.506,0.333,15.0,10.5,216.0,104.0,0
0.379,0.324,16.0,11.1,300.0,128.0,0
0.5,0.433,12.0,7.0,300.0,112.0,1
0.393,0.306,19.0,9.2,131.0,114.0,1
0.517,0.389,19.0,15.0,143.0,108.0,0
0.506,0.321,14.0,10.9,173.0,120.0,1
0.519,0.526,19.0,13.0,154.0,123.0,1
0.462,0.364,11.0,11.5,198.0,130.0,0
0.483,0.325,26.0,7.3,165.0,128.0,0
0.476,0.185,21.0,7.9,213.0,114.0,1
0.463,0.423,17.0,9.9,147.0,134.0,0
0.389,0.276,20.0,5.4,200.0,130.0,1
0.43,0.364,19.0,11.8,171.0,115.0,0
0.489,0.233,8.0,5.8,161.0,120.0,1
0.472,0.452,15.0,15.6,175.0,108.0,0
0.404,0.459,11.0,10.3,242.0,103.0,0
